1D Steady Open Channel Network Solver																																												
																																												
Two-pass steady 1D workbook: subcritical backwater, supercritical forewater, mixed-flow specific-force selection, and spill routing to drain.																																												
	Parameter	Unit	Value				Fundamental Inputs			Boundary	Segment	End	Type	Value	Resolved Stage	Remarks																												
1227	1225.995	616071.743	3096781.259	631.9505	5.2	0	Normal	0.055	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0894677	635.1589516	0.003814146	1	35.68642616	-0.003412182	1	4.062866612	21.12690638	1.585421682	2.411616688	636.0133666	636.3097935	0.000707847	0.381994838	55.44306644	0.00091982	1	4.062866612	636.0133666	636.3097935			0	0	0	0	0.381994838	Subcritical	0.000707847
1228	1226.996	616071.7	3096780.259	631.95	5.2	0	Normal	0.055	1.001	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0889677	635.1584516	0.003814146	1	35.68642616	-0.003415996	1	4.063628692	21.1308692	1.585537713	2.411164421	636.0136287	636.3099444	0.000707512	0.381887386	55.45681942	-0.00091993	1	4.063628692	636.0136287	636.3099444			0	0	0	0	0.381887386	Subcritical	0.000707512
1229	1227.996	616071.658	3096779.26	631.9495	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0884677	635.1579516	0.003814146	1	35.68642616	-0.003314146	1	4.062285346	21.1238838	1.585333163	2.411961762	636.0117853	636.308297	0.000708102	0.38207683	55.43257918	0.000740353	1	4.062285346	636.0117853	636.308297			0	0	0	0	0.38207683	Subcritical	0.000708102
1230	1228.996	616071.616	3096778.261	631.949	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0879677	635.1574516	0.003814146	1	35.68642616	-0.003314146	1	4.062878307	21.1269672	1.585423463	2.411609746	636.0118783	636.3083035	0.000707842	0.381993189	55.44327747	0.000939167	1	4.062878307	636.0118783	636.3083035			0	0	0	0	0.381993189	Subcritical	0.000707842
1231	1229.996	616071.574	3096777.262	631.9485	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0874677	635.1569516	0.003814146	1	35.68642616	-0.003415747	1	4.063661632	21.13104049	1.585542728	2.411144876	636.0121616	636.3084725	0.000707498	0.381882743	55.45741396	-0.000919424	1	4.063661632	636.0121616	636.3084725			0	0	0	0	0.381882743	Subcritical	0.000707498
1232	1230.996	616071.531	3096776.263	631.948	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0869677	635.1564516	0.003814146	1	35.68642616	-0.003415747	1	4.062285346	21.1238838	1.585333163	2.411961762	636.0102853	636.306797	0.000708102	0.38207683	55.43257918	0.00073019	1	4.062285346	636.0102853	636.306797			0	0	0	0	0.38207683	Subcritical	0.000708102
1233	1231.996	616071.489	3096775.264	631.9475	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0864677	635.1559516	0.003814146	1	35.68642616	-0.003314146	1	4.062866986	21.12690833	1.585421739	2.411616466	636.010367	636.3067938	0.000707847	0.381994786	55.44307319	0.000920466	1	4.062866986	636.010367	636.3067938			0	0	0	0	0.381994786	Subcritical	0.000707847
1234	1232.995	616071.447	3096774.265	631.947	5.2	0	Normal	0	0.999	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0859677	635.1554516	0.003814146	1	35.68642616	-0.003310332	1	4.063661632	21.13104049	1.585542728	2.411144876	636.0106616	636.3069725	0.000707498	0.381882743	55.45741396	-0.000919424	1	4.063661632	636.0106616	636.3069725			0	0	0	0	0.381882743	Subcritical	0.000707498
1235	1233.995	616071.405	3096773.266	631.9465	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0854677	635.1549516	0.003814146	1	35.68642616	-0.003415747	1	4.062285346	21.1238838	1.585333163	2.411961762	636.0087853	636.305297	0.000708102	0.38207683	55.43257918	0.000749182	1	4.062285346	636.0087853	636.305297			0	0	0	0	0.38207683	Subcritical	0.000708102
1236	1234.995	616071.362	3096772.267	631.946	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0849677	635.1544516	0.003814146	1	35.68642616	-0.003415747	1	4.062856763	21.12685517	1.585420182	2.411622534	636.0088568	636.3052851	0.000707851	0.381996227	55.44288872	0.000903553	1	4.062856763	636.0088568	636.3052851			0	0	0	0	0.381996227	Subcritical	0.000707851
1237	1235.995	616071.32	3096771.268	631.9455	5.2	0	Normal	0.002	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0844677	635.1539516	0.003814146	1	35.68642616	-0.003317711	1	4.063630675	21.13087951	1.585538015	2.411163245	636.0091307	636.3054461	0.000707512	0.381887107	55.45685521	-0.000919899	1	4.063630675	636.0091307	636.3054461			0	0	0	0	0.381887107	Subcritical	0.000707512
1238	1236.996	616071.278	3096770.268	631.945	5.2	0	Normal	0.002	1.001	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0839677	635.1534516	0.003814146	1	35.68642616	-0.003321525	1	4.062285346	21.1238838	1.585333163	2.411961762	636.0072853	636.303797	0.000708102	0.38207683	55.43257918	0.000758122	1	4.062285346	636.0072853	636.303797			0	0	0	0	0.38207683	Subcritical	0.000708102
1239	1237.996	616071.236	3096769.269	631.9445	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0834677	635.1529516	0.003814146	1	35.68642616	-0.003415747	1	4.062866722	21.12690695	1.585421699	2.411616623	636.0073667	636.3037936	0.000707847	0.381994823	55.44306842	0.000920002	1	4.062866722	636.0073667	636.3037936			0	0	0	0	0.381994823	Subcritical	0.000707847
1240	1238.996	616071.193	3096768.27	631.944	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0829677	635.1524516	0.003814146	1	35.68642616	-0.003415747	1	4.063628692	21.1308692	1.585537713	2.411164421	636.0076287	636.3039444	0.000707512	0.381887386	55.45681942	-0.00091993	1	4.063628692	636.0076287	636.3039444			0	0	0	0	0.381887386	Subcritical	0.000707512
1241	1239.996	616071.151	3096767.271	631.9435	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0824677	635.1519516	0.003814146	1	35.68642616	-0.003314146	1	4.062285346	21.1238838	1.585333163	2.411961762	636.0057853	636.302297	0.000708102	0.38207683	55.43257918	0.000740092	1	4.062285346	636.0057853	636.302297			0	0	0	0	0.38207683	Subcritical	0.000708102
1242	1240.996	616071.109	3096766.272	631.943	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0819677	635.1514516	0.003814146	1	35.68642616	-0.003314146	1	4.062878017	21.12696569	1.585423419	2.411609919	636.005878	636.3023032	0.000707842	0.38199323	55.44327223	0.000938686	1	4.062878017	636.005878	636.3023032			0	0	0	0	0.38199323	Subcritical	0.000707842
1243	1241.996	616071.067	3096765.273	631.9425	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0814677	635.1509516	0.003814146	1	35.68642616	-0.003415747	1	4.063660805	21.13103619	1.585542602	2.411145367	636.0061608	636.3024718	0.000707498	0.381882859	55.45739904	-0.000919437	1	4.063660805	636.0061608	636.3024718			0	0	0	0	0.381882859	Subcritical	0.000707498
1244	1242.995	616071.024	3096764.274	631.942	5.2	0	Normal	0.057	0.999	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0809677	635.1504516	0.003814146	1	35.68642616	-0.003411933	1	4.062285346	21.1238838	1.585333163	2.411961762	636.0042853	636.300797	0.000708102	0.38207683	55.43257918	0.000731596	1	4.062285346	636.0042853	636.300797			0	0	0	0	0.38207683	Subcritical	0.000708102
1245	1243.995	616070.982	3096763.275	631.9415	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0804677	635.1499516	0.003814146	1	35.68642616	-0.003314146	1	4.062868552	21.12691647	1.585421977	2.411615537	636.0043686	636.3007951	0.000707846	0.381994565	55.44310144	0.000923054	1	4.062868552	636.0043686	636.3007951			0	0	0	0	0.381994565	Subcritical	0.000707846
1246	1244.995	616070.94	3096762.276	631.941	5.2	0	Normal	0.002	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0799677	635.1494516	0.003814146	1	35.68642616	-0.003317711	1	4.063664192	21.1310538	1.585543118	2.411143357	636.0046642	636.3009747	0.000707497	0.381882382	55.45746017	-0.000919384	1	4.063664192	636.0046642	636.3009747			0	0	0	0	0.381882382	Subcritical	0.000707497
1247	1245.996	616070.898	3096761.276	631.9405	5.2	0	Normal	0.06	1.001	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0794677	635.1489516	0.003814146	1	35.68642616	-0.003424909	1	4.062285346	21.1238838	1.585333163	2.411961762	636.0027853	636.299297	0.000708102	0.38207683	55.43257918	0.000758608	1	4.062285346	636.0027853	636.299297			0	0	0	0	0.38207683	Subcritical	0.000708102
1248	1246.996	616070.855	3096760.277	631.94	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0789677	635.1484516	0.003814146	1	35.68642616	-0.003415747	1	4.062867264	21.12690977	1.585421781	2.411616301	636.0028673	636.299294	0.000707847	0.381994746	55.4430782	0.000920924	1	4.062867264	636.0028673	636.299294			0	0	0	0	0.381994746	Subcritical	0.000707847
1249	1247.996	616070.813	3096759.278	631.9395	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0784677	635.1479516	0.003814146	1	35.68642616	-0.003314146	1	4.063661632	21.13104049	1.585542728	2.411144876	636.0031616	636.2994725	0.000707498	0.381882743	55.45741396	-0.000919424	1	4.063661632	636.0031616	636.2994725			0	0	0	0	0.381882743	Subcritical	0.000707498
1250	1248.996	616070.771	3096758.279	631.939	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0779677	635.1474516	0.003814146	1	35.68642616	-0.003415747	1	4.062285346	21.1238838	1.585333163	2.411961762	636.0012853	636.297797	0.000708102	0.38207683	55.43257918	0.000747947	1	4.062285346	636.0012853	636.297797			0	0	0	0	0.38207683	Subcritical	0.000708102
1251	1249.996	616070.728	3096757.28	631.9385	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0774677	635.1469516	0.003814146	1	35.68642616	-0.003415747	1	4.062855387	21.12684801	1.585419973	2.411623351	636.0013554	636.2977839	0.000707852	0.381996421	55.4428639	0.000901278	1	4.062855387	636.0013554	636.2977839			0	0	0	0	0.381996421	Subcritical	0.000707852
1252	1250.996	616070.686	3096756.281	631.938	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0769677	635.1464516	0.003814146	1	35.68642616	-0.003314146	1	4.063627866	21.1308649	1.585537588	2.411164911	636.0016279	636.2979437	0.000707513	0.381887503	55.4568045	-0.000919943	1	4.063627866	636.0016279	636.2979437			0	0	0	0	0.381887503	Subcritical	0.000707513
1253	1251.995	616070.644	3096755.282	631.9375	5.2	0	Normal	0	0.999	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0764677	635.1459516	0.003814146	1	35.68642616	-0.003310332	1	4.062285346	21.1238838	1.585333163	2.411961762	635.9997853	636.296297	0.000708102	0.38207683	55.43257918	0.000759269	1	4.062285346	635.9997853	636.296297			0	0	0	0	0.38207683	Subcritical	0.000708102
1254	1252.995	616070.602	3096754.283	631.937	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0759677	635.1454516	0.003814146	1	35.68642616	-0.003415747	1	4.062868	21.1269136	1.585421893	2.411615864	635.999868	636.2962947	0.000707846	0.381994643	55.44309149	0.000922116	1	4.062868	635.999868	636.2962947			0	0	0	0	0.381994643	Subcritical	0.000707846
1255	1253.995	616070.559	3096753.284	631.9365	5.2	0	Normal	0.06	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0754677	635.1449516	0.003814146	1	35.68642616	-0.003421094	1	4.063630675	21.13087951	1.585538015	2.411163245	636.0001307	636.2964461	0.000707512	0.381887107	55.45685521	-0.000919899	1	4.063630675	636.0001307	636.2964461			0	0	0	0	0.381887107	Subcritical	0.000707512
1256	1254.996	616070.517	3096752.284	631.936	5.2	0	Normal	0.002	1.001	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0749677	635.1444516	0.003814146	1	35.68642616	-0.003321525	1	4.062285346	21.1238838	1.585333163	2.411961762	635.9982853	636.294797	0.000708102	0.38207683	55.43257918	0.000740353	1	4.062285346	635.9982853	636.294797			0	0	0	0	0.38207683	Subcritical	0.000708102
1257	1255.996	616070.475	3096751.285	631.9355	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0744677	635.1439516	0.003814146	1	35.68642616	-0.003314146	1	4.062878307	21.1269672	1.585423463	2.411609746	635.9983783	636.2948035	0.000707842	0.381993189	55.44327747	0.000939167	1	4.062878307	635.9983783	636.2948035			0	0	0	0	0.381993189	Subcritical	0.000707842
1258	1256.996	616070.433	3096750.286	631.935	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0739677	635.1434516	0.003814146	1	35.68642616	-0.003415747	1	4.063661632	21.13104049	1.585542728	2.411144876	635.9986616	636.2949725	0.000707498	0.381882743	55.45741396	-0.000919424	1	4.063661632	635.9986616	636.2949725			0	0	0	0	0.381882743	Subcritical	0.000707498
1259	1257.996	616070.39	3096749.287	631.9345	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0734677	635.1429516	0.003814146	1	35.68642616	-0.003415747	1	4.062285346	21.1238838	1.585333163	2.411961762	635.9967853	636.293297	0.000708102	0.38207683	55.43257918	0.000730179	1	4.062285346	635.9967853	636.293297			0	0	0	0	0.38207683	Subcritical	0.000708102
1260	1258.996	616070.348	3096748.288	631.934	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0729677	635.1424516	0.003814146	1	35.68642616	-0.003314146	1	4.062866973	21.12690826	1.585421737	2.411616474	635.996867	636.2932938	0.000707847	0.381994787	55.44307296	0.000920443	1	4.062866973	635.996867	636.2932938			0	0	0	0	0.381994787	Subcritical	0.000707847
1261	1259.996	616070.306	3096747.289	631.9335	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0724677	635.1419516	0.003814146	1	35.68642616	-0.003314146	1	4.063660805	21.13103619	1.585542602	2.411145367	635.9971608	636.2934718	0.000707498	0.381882859	55.45739904	-0.000919437	1	4.063660805	635.9971608	636.2934718			0	0	0	0	0.381882859	Subcritical	0.000707498
1262	1260.995	616070.264	3096746.29	631.933	5.2	0	Normal	0.057	0.999	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0719677	635.1414516	0.003814146	1	35.68642616	-0.003411933	1	4.062285346	21.1238838	1.585333163	2.411961762	635.9952853	636.291797	0.000708102	0.38207683	55.43257918	0.000748573	1	4.062285346	635.9952853	636.291797			0	0	0	0	0.38207683	Subcritical	0.000708102
1263	1261.995	616070.221	3096745.291	631.9325	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0714677	635.1409516	0.003814146	1	35.68642616	-0.003415747	1	4.062856085	21.12685164	1.585420079	2.411622937	635.9953561	636.2917845	0.000707852	0.381996323	55.44287648	0.000902432	1	4.062856085	635.9953561	636.2917845			0	0	0	0	0.381996323	Subcritical	0.000707852
1264	1262.995	616070.179	3096744.292	631.932	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0709677	635.1404516	0.003814146	1	35.68642616	-0.003314146	1	4.063629848	21.13087521	1.585537889	2.411163735	635.9956298	636.2919454	0.000707512	0.381887223	55.45684028	-0.000919912	1	4.063629848	635.9956298	636.2919454			0	0	0	0	0.381887223	Subcritical	0.000707512
1265	1263.995	616070.137	3096743.293	631.9315	5.2	0	Normal	0.002	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0704677	635.1399516	0.003814146	1	35.68642616	-0.003317711	1	4.062285346	21.1238838	1.585333163	2.411961762	635.9937853	636.290297	0.000708102	0.38207683	55.43257918	0.000760312	1	4.062285346	635.9937853	636.290297			0	0	0	0	0.38207683	Subcritical	0.000708102
1266	1264.996	616070.095	3096742.293	631.931	5.2	0	Normal	0.06	1.001	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0699677	635.1394516	0.003814146	1	35.68642616	-0.003424909	1	4.062866722	21.12690695	1.585421699	2.411616623	635.9938667	636.2902936	0.000707847	0.381994823	55.44306842	0.000920002	1	4.062866722	635.9938667	636.2902936			0	0	0	0	0.381994823	Subcritical	0.000707847
1267	1265.996	616070.052	3096741.294	631.9305	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0694677	635.1389516	0.003814146	1	35.68642616	-0.003415747	1	4.063628692	21.1308692	1.585537713	2.411164421	635.9941287	636.2904444	0.000707512	0.381887386	55.45681942	-0.00091993	1	4.063628692	635.9941287	636.2904444			0	0	0	0	0.381887386	Subcritical	0.000707512
1268	1266.996	616070.01	3096740.295	631.93	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0689677	635.1384516	0.003814146	1	35.68642616	-0.003314146	1	4.062285346	21.1238838	1.585333163	2.411961762	635.9922853	636.288797	0.000708102	0.38207683	55.43257918	0.000740353	1	4.062285346	635.9922853	636.288797			0	0	0	0	0.38207683	Subcritical	0.000708102
1269	1267.996	616069.968	3096739.296	631.9295	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0684677	635.1379516	0.003814146	1	35.68642616	-0.003314146	1	4.062878307	21.1269672	1.585423463	2.411609746	635.9923783	636.2888035	0.000707842	0.381993189	55.44327747	-0.000261623	1	4.062878307	635.9923783	636.2888035			0	0	0	0	0.381993189	Subcritical	0.000707842
1270	1268.996	616069.926	3096738.297	631.929	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0679677	635.1374516	0.003814146	1	35.68642616	-0.003415747	1	4.062285346	21.1238838	1.585333163	2.411961762	635.9912853	636.287797	0.000708102	0.38207683	55.43257918	-0.000182253	1	4.062285346	635.9912853	636.287797			0	0	0	0	0.38207683	Subcritical	0.000708102
1271	1269.996	616069.883	3096737.298	631.9285	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0674677	635.1369516	0.003814146	1	35.68642616	-0.003415747	1	4.061786603	21.12129033	1.585257199	2.412257925	635.9902866	636.2868711	0.000708321	0.382147204	55.4235826	-0.000882372	1	4.061786603	635.9902866	636.2868711			0	0	0	0	0.382147204	Subcritical	0.000708321
1272	1270.995	616069.841	3096736.299	631.928	5.2	0	Normal	0	0.999	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0669677	635.1364516	0.003814146	1	35.68642616	-0.003310332	1	4.060487552	21.11453527	1.585059285	2.413029666	635.9884876	636.2852619	0.000708893	0.382330607	55.40015754	-0.000976784	1	4.060487552	635.9884876	636.2852619			0	0	0	0	0.382330607	Subcritical	0.000708893
1273	1271.995	616069.799	3096735.3	631.9275	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0664677	635.1359516	0.003814146	1	35.68642616	-0.003314146	1	4.059074183	21.10718575	1.584843867	2.413869883	635.9865742	636.2835552	0.000709515	0.382530315	55.37468392	-0.000955906	1	4.059074183	635.9865742	636.2835552			0	0	0	0	0.382530315	Subcritical	0.000709515
1274	1272.995	616069.757	3096734.301	631.927	5.2	0	Normal	0.055	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0659677	635.1354516	0.003814146	1	35.68642616	-0.003412182	1	4.0576522	21.09979144	1.584627043	2.414715811	635.9846522	636.2818414	0.000710142	0.382731416	55.3490686	-0.000970645	1	4.0576522	635.9846522	636.2818414			0	0	0	0	0.382731416	Subcritical	0.000710142
1275	1273.996	616069.714	3096733.301	631.9265	5.2	0	Normal	0.055	1.001	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0654677	635.1349516	0.003814146	1	35.68642616	-0.003415996	1	4.056210733	21.09229581	1.584407154	2.415573936	635.9827107	636.2801112	0.000710778	0.382935453	55.32311616	-0.000917852	1	4.056210733	635.9827107	636.2801112			0	0	0	0	0.382935453	Subcritical	0.000710778
1276	1274.996	616069.672	3096732.302	631.926	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0649677	635.1344516	0.003814146	1	35.68642616	-0.003314146	1	4.054864554	21.08529568	1.584201715	2.416375885	635.9808646	636.2784625	0.000711373	0.383126166	55.29889193	-0.0009581	1	4.054864554	635.9808646	636.2784625			0	0	0	0	0.383126166	Subcritical	0.000711373
1277	1275.996	616069.63	3096731.303	631.9255	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0644677	635.1339516	0.003814146	1	35.68642616	-0.003415747	1	4.053435631	21.07786528	1.583983558	2.417227709	635.9789356	636.2767435	0.000712006	0.383328774	55.27319209	-0.00097963	1	4.053435631	635.9789356	636.2767435			0	0	0	0	0.383328774	Subcritical	0.000712006
1278	1276.996	616069.587	3096730.304	631.925	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0639677	635.1334516	0.003814146	1	35.68642616	-0.003415747	1	4.051979943	21.07029571	1.583761217	2.418096106	635.9769799	636.2750018	0.000712651	0.383535361	55.24702499	-0.000980853	1	4.051979943	635.9769799	636.2750018			0	0	0	0	0.383535361	Subcritical	0.000712651
1279	1277.996	616069.545	3096729.305	631.9245	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0634677	635.1329516	0.003814146	1	35.68642616	-0.003314146	1	4.050555516	21.06288868	1.583543558	2.418946459	635.9750555	636.273287	0.000713283	0.383737691	55.22143362	-0.000962238	1	4.050555516	635.9750555	636.273287			0	0	0	0	0.383737691	Subcritical	0.000713283
1280	1278.996	616069.503	3096728.306	631.924	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0629677	635.1324516	0.003814146	1	35.68642616	-0.003314146	1	4.049152267	21.05559179	1.583329043	2.419784754	635.9731523	636.2715905	0.000713906	0.383937187	55.1962361	-0.00093046	1	4.049152267	635.9731523	636.2715905			0	0	0	0	0.383937187	Subcritical	0.000713906
1281	1279.995	616069.461	3096727.307	631.9235	5.2	0	Normal	0.057	0.999	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0624677	635.1319516	0.003814146	1	35.68642616	-0.003411933	1	4.047752912	21.04831514	1.583115033	2.420621302	635.9712529	636.2698975	0.000714529	0.384136301	55.17112169	-0.000890969	1	4.047752912	635.9712529	636.2698975			0	0	0	0	0.384136301	Subcritical	0.000714529
1282	1280.995	616069.418	3096726.308	631.923	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0619677	635.1314516	0.003814146	1	35.68642616	-0.003415747	1	4.04639882	21.04127387	1.58290786	2.421431341	635.9693988	636.2682434	0.000715132	0.384329139	55.14683221	-0.000974081	1	4.04639882	635.9693988	636.2682434			0	0	0	0	0.384329139	Subcritical	0.000715132
1283	1281.995	616069.376	3096725.309	631.9225	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0614677	635.1309516	0.003814146	1	35.68642616	-0.003314146	1	4.044978376	21.03388756	1.582690444	2.422281657	635.9674784	636.2665328	0.000715765	0.3845316	55.12136576	-0.000919669	1	4.044978376	635.9674784	636.2665328			0	0	0	0	0.3845316	Subcritical	0.000715765
1284	1282.995	616069.334	3096724.31	631.922	5.2	0	Normal	0.002	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0609677	635.1304516	0.003814146	1	35.68642616	-0.003317711	1	4.043620704	21.02682766	1.58248255	2.423094954	635.9656207	636.264876	0.000716371	0.384725279	55.09703743	-0.000991971	1	4.043620704	635.9656207	636.264876			0	0	0	0	0.384725279	Subcritical	0.000716371
1285	1283.996	616069.292	3096723.31	631.9215	5.2	0	Normal	0.06	1.001	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0604677	635.1299516	0.003814146	1	35.68642616	-0.003424909	1	4.042140183	21.01912895	1.582255747	2.423982465	635.9636402	636.2631147	0.000717033	0.38493667	55.07052192	-0.000929102	1	4.042140183	635.9636402	636.2631147			0	0	0	0	0.38493667	Subcritical	0.000717033
1286	1284.996	616069.249	3096722.311	631.921	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0599677	635.1294516	0.003814146	1	35.68642616	-0.003415747	1	4.040736324	21.01182889	1.582040595	2.42482462	635.9617363	636.261419	0.000717662	0.385137293	55.04539304	-0.000994067	1	4.040736324	635.9617363	636.261419			0	0	0	0	0.385137293	Subcritical	0.000717662
1287	1285.996	616069.207	3096721.312	631.9205	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0594677	635.1289516	0.003814146	1	35.68642616	-0.003314146	1	4.039287797	21.00429654	1.581818501	2.425694186	635.9597878	636.2596855	0.000718311	0.385344482	55.01947854	-0.000921655	1	4.039287797	635.9597878	636.2596855			0	0	0	0	0.385344482	Subcritical	0.000718311
1288	1286.996	616069.165	3096720.313	631.92	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0589677	635.1284516	0.003814146	1	35.68642616	-0.003314146	1	4.037924778	20.99720884	1.58160943	2.426512989	635.9579248	636.2580249	0.000718923	0.385539611	54.99510671	-0.000976532	1	4.037924778	635.9579248	636.2580249			0	0	0	0	0.385539611	Subcritical	0.000718923
1289	1287.996	616069.123	3096719.314	631.9195	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0584677	635.1279516	0.003814146	1	35.68642616	-0.003415747	1	4.036460998	20.98959719	1.581384807	2.427392938	635.955961	636.2562789	0.00071958	0.385749348	54.96894718	-0.000900237	1	4.036460998	635.955961	636.2562789			0	0	0	0	0.385749348	Subcritical	0.00071958
1290	1288.996	616069.08	3096718.315	631.919	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0579677	635.1274516	0.003814146	1	35.68642616	-0.003415747	1	4.035087368	20.98245431	1.581173928	2.428219275	635.9540874	636.2546097	0.000720198	0.38594634	54.94441187	-0.000948521	1	4.035087368	635.9540874	636.2546097			0	0	0	0	0.38594634	Subcritical	0.000720198
1291	1289.995	616069.038	3096717.316	631.9185	5.2	0	Normal	0	0.999	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0574677	635.1269516	0.003814146	1	35.68642616	-0.003310332	1	4.033689973	20.97518786	1.580959311	2.429060485	635.95219	636.2529206	0.000720828	0.386146913	54.91946513	-0.000997565	1	4.033689973	635.95219	636.2529206			0	0	0	0	0.386146913	Subcritical	0.000720828
1292	1290.995	616068.996	3096716.317	631.918	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0569677	635.1264516	0.003814146	1	35.68642616	-0.003314146	1	4.032231981	20.9676063	1.580735291	2.429938796	635.950232	636.2511801	0.000721486	0.386356369	54.89345067	-0.00091254	1	4.032231981	635.950232	636.2511801			0	0	0	0	0.386356369	Subcritical	0.000721486
1293	1291.995	616068.954	3096715.318	631.9175	5.2	0	Normal	0.055	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0564677	635.1259516	0.003814146	1	35.68642616	-0.003412182	1	4.030841623	20.96037644	1.580521571	2.430776954	635.9483416	636.2494974	0.000722114	0.386556285	54.86865634	-0.000955188	1	4.030841623	635.9483416	636.2494974			0	0	0	0	0.386556285	Subcritical	0.000722114
